name,rank,total,rank_diff,total_diff,comps,details
Julia Jakobsen,1,165,0.0,0.0,3,"iF3 Worlds '24 (4.pl; 75pts), GTD'24 (5.pl; 48pts), iF3 Euros '24 (2.pl; 42pts)"
Sarah Antonia Ziemens,2,89,1.0,13.0,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), FTD '25 MMFF (8.pl; 26pts), Czech TD (2.pl; 13pts)"
Vivien-Marie Christian,3,81,-1.0,0.0,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), DBVfF DM'24 (2.pl; 16pts), BtB '24 FF (1.pl; 15pts)"
Jana Geertz,4,70,2.0,38.0,2,"FTD '25 MMFF (2.pl; 38pts), GTD'24 (7.pl; 32pts)"
Lidia Barto,5,48,0.0,0.0,3,"Liege (1.pl; 20pts), GTD'24 (9.pl; 16pts), DBVfF DM'24 (3.pl; 12pts)"
Katharina Isele,6,45,8.0,40.0,1,FTD '25 (26.pl; 45pts)
Caroline Müller-Korn,7,36,2.0,10.0,3,"Marbella (8.pl; 18pts), FTD '25 MMFF (16.pl; 10pts), DBVfF DM'24 (4.pl; 8pts)"
Diana Vetter,8,30,0.0,0.0,1,CISM Euro'24 (1.pl; 30pts)
Christina Petersen,9,26,,,1,FTD '25 MMFF (8.pl; 26pts)
Susan Treppner,10,21,-3.0,-11.0,2,"BtB '24 FF (1.pl; 15pts), Amsterdam (3.pl; 6pts)"
Klaudia Dabrowska,11,20,-1.0,0.0,1,Lions '24 (1.pl; 20pts)
Anna Hartje,12,16,-1.0,0.0,2,"CISM Euro'24 (3.pl; 10pts), Lions '24 (3.pl; 6pts)"
Judith Melcher,13,15,-1.0,0.0,1,BtB '24 MF (1.pl; 15pts)
Pia Zeller,14,13,-1.0,0.0,1,Lions '24 (2.pl; 13pts)
Verena Evelyn Reimers,15,10,0.0,6.0,2,"Athens TD '25 (10.pl; 6pts), DBVfF DM'24 (5.pl; 4pts)"
