name,rank,total,rank_diff,total_diff,comps,details
Moritz Fiebig,1,276,0.0,-4.0,3,"FTD '25 (1.pl; 120pts), CF Games '25 (19.pl; 80pts), Wodland Fest '25 (2.pl; 76pts)"
Jan Arnd Finkenberg,2,145,0.0,-36.0,3,"FTD '25 (6.pl; 105pts), Bohemian TD '25 (1.pl; 20pts), Lions '25 (1.pl; 20pts)"
Eric Zuchold,3,130,0.0,-49.0,3,"FTD '25 (8.pl; 99pts), DBVfF DM'25 (2.pl; 16pts), iF3 Euros '25 (8.pl; 15pts)"
Julius Kieser,4,116,7.0,70.0,3,"GTD'25 (1.pl; 80pts), WFP Finals '25 (28.pl; 20pts), Lions '25 (2.pl; 16pts)"
Karl Feldmer,5,94,2.0,14.0,3,"GTD'25 (3.pl; 64pts), FTD '25 (35.pl; 18pts), Lions '25 (3.pl; 12pts)"
Benjamin Huxol,6,90,-1.0,-8.0,3,"iF3 Euros '25 (1.pl; 50pts), DBVfF DM'25 (1.pl; 20pts), Liege '25 (1.pl; 20pts)"
Max Hinkofer,7,75,5.0,42.0,3,"GTD'25 (5.pl; 48pts), BtB '25 MF (1.pl; 15pts), Bohemian TD '25 (3.pl; 12pts)"
Felix Rehder,8,64,1.0,-10.0,2,"FTD '25 MMFF (4.pl; 34pts), Mayenne TD '25 MMFF (2.pl; 30pts)"
Lenn Postel,9,52,-5.0,-96.0,3,"Wodland Fest '25 (14.pl; 28pts), Czechia TD '25 (2.pl; 16pts), DBVfF DM'25 (4.pl; 8pts)"
Christoph Verrieth,10,47,5.0,31.0,2,"GTD'25 (7.pl; 32pts), Wodla Oslo '25 MF (3.pl; 15pts)"
Tobias Becker,11,42,8.0,32.0,3,"GTD'25 (7.pl; 32pts), Liege '25 (3.pl; 6pts), Lions '25 (5.pl; 4pts)"
John Schäffer,12,40,,40.0,1,GTD'25 (6.pl; 40pts)
Noel Nagel,13,26,-5.0,-50.0,1,FTD '25 MMFF (8.pl; 26pts)
Robert Dopke,13,26,1.0,0.0,1,FTD '25 MMFF (8.pl; 26pts)
Nick Mentzel,15,24,-9.0,-72.0,1,GTD'25 (8.pl; 24pts)
Malte Golldack-Bosen,16,15,0.0,0.0,1,BtB '25 MM (1.pl; 15pts)
Marc Nowatzke,16,15,0.0,0.0,1,BtB '25 MM (1.pl; 15pts)
Siegfried Kramer,18,13,,13.0,1,Swiss TD (2.pl; 13pts)
Anton Quiring,19,10,-1.0,0.0,1,FTD '25 MMFF (16.pl; 10pts)
Oskar Günther,20,8,0.0,0.0,1,Lions '25 (4.pl; 8pts)
